koolhydraten,vet,kcal,product,eenheid
2.5, 27.1, 297 ,Knoflook ,1 teentje
0, 1.4, 14 ,Knolselderij ,100 gr
7, 0, 36 ,Koffie ,1 glas
0, 0, 0 ,Koffiebroodje ,100 gr
55, 9, 329 ,"Koffie, Irisch Coffe ",1 kop
2.7, 4.5, 58 ,"Koffiemelk, Halfvol ",100 gr
9.3, 4, 104 ,"Koffiemelk, Mager ",100 gr
11.2, 0.2, 77 ,Koffiemelkpoeder ,100 gr
55, 35, 550 ,"Koffiemelkproduct, H ",100 gr
10, 4, 104 ,"Koffiemelkproduct, V ",100 gr
9.5, 7.6, 136 ,"Koffiemelk, Vol ",100 gr
10.7, 8.4, 152 ,Koffieroom ,100 gr
3.8, 20, 206 ,Koffie Verkeerd ,1 kop
2.8, 1, 29 ,Kokosbrood ,100 gr
34, 30, 422 ,"Kokos, Gedroogd ",100 gr
24.4, 64.5, 665 ,Kokosmakroon ,100 gr
57, 23, 451 ,Kokosnoot ,100 gr
10, 37, 389 ,Komkommer ,100 gr
1, 0, 8 ,Komkommerspread ,100 gr
13.5, 11, 157 ,Konijn ,100 gr
1, 8, 160 ,Koolraap ,100 gr
2, 0, 12 ,Koolrabi ,100 gr
4, 0, 24 ,Koolvis ,100 gr
0, 0, 72 ,Korstgebak ,100 gr
40, 47, 611 ,Kousenband ,100 gr
7, 0, 40 ,Krab ,100 gr
0, 2, 82 ,Kreeft ,100 gr
0, 2, 82 ,Krenten ,100 gr
75, 0, 308 ,Krentenbol ,100 gr
51.7, 3.2, 267 ,Krentenbrood ,100 gr
50, 3, 255 ,Krisprol ,100 gr
75, 6, 404 ,Kroepoek ,100 gr
62, 26, 498 ,Kroket ,100 gr
16.9, 13.6, 233 ,Kruimelvlaai ,100 gr
37, 8, 230 ,Kruimelvlaai ,100 gr
40.4, 12, 293 ,Kruisbessen ,100 gr
9, 0, 40 ,Krulandijvie ,100 gr
0.9, 0.2, 13 ,Kumquat ,100 gr
7.4, 0.9, 42 ,"Kwark, Mager ",100 gr
5, 0, 64 ,"Kwark, Magere Vrucht ",100 gr
15, 4, 124 ,Kwarktaart ,100 gr
27.2, 11.1, 228 ,"Kwark, Vol ",100 gr
3.2, 11.4, 159 ,Lamsbout ,100 gr
0, 27.4, 350 ,Lamsfilet ,100 gr
0, 7, 143 ,Lamskarbonade ,100 gr
0, 27.4, 350 ,Lamskotelet ,100 gr
0, 23, 279 ,Lange Vingers ,100 gr
77, 7, 399 ,Langoest ,100 gr
1.3, 1.1, 84 ,Lasagne Met Vlees En ,100 gr
9.2, 10.5, 158 ,"Leidsche Kaas, 20+ ",100 gr
0, 13, 269 ,Lekkerbekje ,100 gr
2.1, 12.3, 219 ,Lever ,100 gr
2, 5, 133 ,Leverpastei ,100 gr
0, 29, 317 ,Leverworst ,100 gr
1, 41, 421 ,"Leverworst, Saksisch ",100 gr
2, 36, 384 ,Likeur 15-25% ,1 glaasje
10, 0, 85 ,Limonadesiroop Aange ,1 glas
21, 0, 85 ,Linzen ,Gedroogd ) (100 gr
43, 1.5, 270 ,Lion ,1 stuk
26, 9, 193 ,Loempia ,1 stuk
28, 12, 270 ,Lollie ,1 stuk
14, 0, 55 ,Lychee ,100 gr
16, 0, 68 ,Maaltijdsoep ,100 gr
6, 3, 63 ,Maaslanderkaas ,100 gr
0, 30, 370 ,Macadamianoten ,100 gr
13.8, 75.8, 718 ,Macaroni ,100 gr
72, 2, 358 ,Magnum ,Ola) (1 stuk
26, 20, 300 ,Maïsgriesmeel ,100 gr
78, 1.1, 357 ,"Maïskorrels, Uit Bli ",100 gr
12, 1.3, 70 ,Maïzena ,100 gr
84, 0.1, 337 ,Makreel ,100 gr
0, 10, 158 ,"Manderijnen, Op Siro ",100 gr
14, 0, 56 ,"Manderijnen, Vers ",1 stuk
4, 0, 16 ,Mango ,1 stuk
15, 0, 64 ,Mango Chutney ,100 gr
52, 0, 208 ,"Margarine, 60-70% Vet ",100 gr
0.8, 65, 589 ,"Margarine, Dieet- ",100 gr
0.6, 82.8, 748 ,"Margarine, Gezouten ",100 gr
0, 83, 747 ,Marmite ,Gistextract (100 gr
0, 0.1, 166 ,Mars ,1 stuk
39, 11, 267 ,Marsepein ,100 gr
64, 8, 360 ,Marshmellows ,100 gr
80, 0, 328 ,Mascarpone ,100 gr
2.5, 46.5, 475 ,Matses ,100 gr
68, 1, 325 ,"Mayonaise, 80% ",1 eetlepel
0, 12, 110 ,"Mayonaise, Halfvet ",1 eetlepel
1, 6, 60 ,Mayosaus ,1 eetlepel
2, 6, 60 ,Meergranenbrood ,100 gr
40.5, 1.8, 212 ,"Melk, Halfvol ",1 glas
7, 2, 70 ,"Melk, Mager ",1 glas
8, 0, 55 ,"Melk, Vol ",1 glas
7, 5, 95 ,"Meloen, Honing- ",100 gr
6, 0, 28 ,"Meloen, Water- ",100 gr
5, 0, 24 ,Mergpijpje ,100 gr
49.5, 24.3, 443 ,Mie ,100 gr
72, 2, 350 ,Mierikswortel ,100 gr
12.4, 0.3, 63 ,Mihoen ,100 gr
71, 2.2, 345 ,Milkshake ,1 glas
18, 3, 110 ,Milky Way ,1 stuk
22, 5, 130 ,Mineraalwater ,1 glas
0, 0, 0 ,Minestronesoep ,100 gr
9, 2, 74 ,Mini-Pizza ,100 gr
35, 11, 287 ,Minute Soup ,1 pakje
12.8, 3.2, 91 ,Mispel ,100 gr
10.6, 0.4, 48 ,"M&m's, Chocolade ",100 gr
70.5, 20.3, 483 ,"M&m's, Met Pinda's ",100 gr
57.3, 27.1, 514 ,Mokkataart ,100 gr
40, 33, 477 ,Mon Chou ,100 gr
2.4, 31, 320 ,Moorkop ,1 stuk
18, 13, 201 ,Mortadella ,100 gr
0, 32.8, 345 ,Mosselen ,100 gr
0, 1, 49 ,Mosterd ,100 gr
4.5, 7.5, 112 ,Moussaka ,100 gr
7.5, 5, 93 ,Mozzarella ,100 gr
1.5, 19, 250 ,Muesli ,100 gr
68, 8.5, 374 ,Muisjes ,100 gr
98.2, 0, 393 ,Nasibal ,1 stuk
26, 14, 260 ,Nasi Goreng ,100 gr
21.8, 2.5, 126 ,Nectarine ,1 stuk
12, 0, 50 ,Negerzoen ,100 gr
38.6, 21.3, 365 ,Netmeloen ,100 gr
6, 0, 24 ,Niertjes ,100 gr
3, 5, 140 ,"Noten, Gemengd ",100 gr
15, 55, 650 ,Nougat ,100 gr
67, 20, 472 ,"Nutella, Choco ",100 gr
57, 31, 533 ,Nuts ,1 stuk
36, 10, 250 ,Oesters ,100 gr
1, 1, 65 ,"Olie, Alle Soorten ",1 eetlepel
0, 12, 108 ,Oliebol ,1 stuk
20, 3, 120 ,Olijven ,100 gr
